$$,Id_actividad,nombre,grado,sesion,bloque,bateria,status_actividad,reg_status,created_by,created_date,last_update_by,last_update_date,id_lectura,id_actividad_tipo,id_actividad_categoria,&&
$$,354,Una ética para el mundo digital,6,354,2,1,activa,activo,developer,2021-12-27,developer,2021-12-27,75,4,2,&&
$$,355,El canal de Panamá,6,355,3,1,activa,activo,developer,2021-12-28,developer,2021-12-28,76,5,6,&&
$$,356,La fotografía profesiona,6,356,3,1,activa,activo,developer,2021-12-29,developer,2021-12-29,77,3,4,&&
$$,357,El amor no discrimina,6,357,3,1,activa,activo,developer,2021-12-30,developer,2021-12-30,78,3,4,&&
$$,358,El hogar de las palabras,6,358,3,1,activa,activo,developer,2021-12-31,developer,2021-12-31,79,3,4,&&
$$,359,¿Existe vida en otros planetas?,6,359,3,1,activa,activo,developer,2022-01-01,developer,2022-01-01,80,3,4,&&
$$,360,Instructivo medico,6,360,3,1,activa,activo,developer,2022-01-02,developer,2022-01-02,81,3,3,&&
$$,361,Alquimia,6,361,3,1,activa,activo,developer,2022-01-03,developer,2022-01-03,82,3,4,&&
$$,362,El lado humano en las catástrofes,6,362,3,1,activa,activo,developer,2022-01-04,developer,2022-01-04,83,3,4,&&
$$,363,Mujeres artistas latinoamericanas,6,363,3,1,activa,activo,developer,2022-01-05,developer,2022-01-05,84,3,4,&&
$$,364,Ciencias Naturale,6,364,3,1,activa,activo,developer,2022-01-06,developer,2022-01-06,85,3,4,&&
$$,365,"Pocos colores son suficientes, pero ¿cuántos son pocos?",6,365,3,1,activa,activo,developer,2022-01-07,developer,2022-01-07,86,3,4,&&
$$,366,Postales del mar,6,366,3,1,activa,activo,developer,2022-01-08,developer,2022-01-08,87,3,4,&&
$$,367,Ciencias Naturales,6,367,3,1,activa,activo,developer,2022-01-09,developer,2022-01-09,88,3,4,&&
$$,368,Rebe-K,6,368,3,1,activa,activo,developer,2022-01-10,developer,2022-01-10,89,3,4,&&
$$,369,Formulario de ingreso,6,369,3,1,activa,activo,developer,2022-01-11,developer,2022-01-11,90,3,3,&&
$$,370,Las ramas de la psicología,6,370,3,1,activa,activo,developer,2022-01-12,developer,2022-01-12,91,3,4,&&
$$,371,Américamegadiversa. ¿Cuál es nuestra responsabilidad?,6,371,3,1,activa,activo,developer,2022-01-13,developer,2022-01-13,92,3,4,&&
$$,372,"¿De verdad quería ver, escuchar o comprar eso?",6,372,3,1,activa,activo,developer,2022-01-14,developer,2022-01-14,93,4,2,&&
$$,373,"Los premios, las trayectorias y el dinero",6,373,3,1,activa,activo,developer,2022-01-15,developer,2022-01-15,94,5,6,&&
$$,374,Narraciones orales como esencia de la cultura,6,374,3,1,activa,activo,developer,2022-01-16,developer,2022-01-16,95,3,4,&&
$$,375,La basura que vino de lejos,6,375,3,1,activa,activo,developer,2022-01-17,developer,2022-01-17,96,3,4,&&
$$,376,La grandeza esta? en la diversidad,6,376,3,1,activa,activo,developer,2022-01-18,developer,2022-01-18,97,3,4,&&
$$,377,Evaluación Final grado 6,6,377,3,1,activa,activo,developer,2022-01-19,developer,2022-01-19,null,6,2,&&
$$,378,Sesión de cierre grado 6,6,378,3,1,activa,activo,developer,2022-01-20,developer,2022-01-20,null,7,7,&&
